year_film,year_ceremony,ceremony,category,name,film,winner
1999,2000,72,ACTOR IN A LEADING ROLE,Russell Crowe,The Insider,False
1999,2000,72,ACTOR IN A LEADING ROLE,Richard Farnsworth,The Straight Story,False
1999,2000,72,ACTOR IN A LEADING ROLE,Sean Penn,Sweet and Lowdown,False
1999,2000,72,ACTOR IN A LEADING ROLE,Kevin Spacey,American Beauty,True
1999,2000,72,ACTOR IN A LEADING ROLE,Denzel Washington,The Hurricane,False
1999,2000,72,ACTRESS IN A LEADING ROLE,Annette Bening,American Beauty,False
1999,2000,72,ACTRESS IN A LEADING ROLE,Janet McTeer,Tumbleweeds,False
1999,2000,72,ACTRESS IN A LEADING ROLE,Julianne Moore,The End of the Affair,False
1999,2000,72,ACTRESS IN A LEADING ROLE,Meryl Streep,Music of the Heart,False
1999,2000,72,ACTRESS IN A LEADING ROLE,Hilary Swank,Boys Don't Cry,True
1999,2000,72,BEST PICTURE,"Bruce Cohen and Dan Jinks, Producers",American Beauty,True
1999,2000,72,BEST PICTURE,"Richard N. Gladstein, Producer",The Cider House Rules,False
1999,2000,72,BEST PICTURE,"David Valdes and Frank Darabont, Producers",The Green Mile,False
1999,2000,72,BEST PICTURE,"Michael Mann and Pieter Jan Brugge, Producers",The Insider,False
1999,2000,72,BEST PICTURE,"Frank Marshall, Kathleen Kennedy and Barry Mendel, Producers",The Sixth Sense,False
2000,2001,73,ACTOR IN A LEADING ROLE,Javier Bardem,Before Night Falls,False
2000,2001,73,ACTOR IN A LEADING ROLE,Russell Crowe,Gladiator,True
2000,2001,73,ACTOR IN A LEADING ROLE,Tom Hanks,Cast Away,False
2000,2001,73,ACTOR IN A LEADING ROLE,Ed Harris,Pollock,False
2000,2001,73,ACTOR IN A LEADING ROLE,Geoffrey Rush,Quills,False
2000,2001,73,ACTRESS IN A LEADING ROLE,Joan Allen,The Contender,False
2000,2001,73,ACTRESS IN A LEADING ROLE,Juliette Binoche,Chocolat,False
2000,2001,73,ACTRESS IN A LEADING ROLE,Ellen Burstyn,Requiem for a Dream,False
2000,2001,73,ACTRESS IN A LEADING ROLE,Laura Linney,You Can Count on Me,False
2000,2001,73,ACTRESS IN A LEADING ROLE,Julia Roberts,Erin Brockovich,True
2000,2001,73,BEST PICTURE,"David Brown, Kit Golden and Leslie Holleran, Producers",Chocolat,False
2000,2001,73,BEST PICTURE,"Bill Kong, Hsu Li Kong and Ang Lee, Producers","Crouching Tiger, Hidden Dragon",False
2000,2001,73,BEST PICTURE,"Danny DeVito, Michael Shamberg and Stacey Sher, Producers",Erin Brockovich,False
2000,2001,73,BEST PICTURE,"Douglas Wick, David Franzoni and Branko Lustig, Producers",Gladiator,True
2000,2001,73,BEST PICTURE,"Edward Zwick, Marshall Herskovitz and Laura Bickford, Producers",Traffic,False
2001,2002,74,ACTOR IN A LEADING ROLE,Russell Crowe,A Beautiful Mind,False
2001,2002,74,ACTOR IN A LEADING ROLE,Sean Penn,I Am Sam,False
2001,2002,74,ACTOR IN A LEADING ROLE,Will Smith,Ali,False
2001,2002,74,ACTOR IN A LEADING ROLE,Denzel Washington,Training Day,True
2001,2002,74,ACTOR IN A LEADING ROLE,Tom Wilkinson,In the Bedroom,False
2001,2002,74,ACTRESS IN A LEADING ROLE,Halle Berry,Monster's Ball,True
2001,2002,74,ACTRESS IN A LEADING ROLE,Judi Dench,Iris,False
2001,2002,74,ACTRESS IN A LEADING ROLE,Nicole Kidman,Moulin Rouge,False
2001,2002,74,ACTRESS IN A LEADING ROLE,Sissy Spacek,In the Bedroom,False
2001,2002,74,ACTRESS IN A LEADING ROLE,Renée Zellweger,Bridget Jones's Diary,False
2001,2002,74,BEST PICTURE,"Brian Grazer and Ron Howard, Producers",A Beautiful Mind,True
2001,2002,74,BEST PICTURE,"Robert Altman, Bob Balaban and David Levy, Producers",Gosford Park,False
2001,2002,74,BEST PICTURE,"Graham Leader, Ross Katz and Todd Field, Producers",In the Bedroom,False
2001,2002,74,BEST PICTURE,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",The Lord of the Rings: The Fellowship of the Ring,False
2001,2002,74,BEST PICTURE,"Martin Brown, Baz Luhrmann and Fred Baron, Producers",Moulin Rouge,False
2002,2003,75,ACTOR IN A LEADING ROLE,Adrien Brody,The Pianist,True
2002,2003,75,ACTOR IN A LEADING ROLE,Nicolas Cage,Adaptation,False
2002,2003,75,ACTOR IN A LEADING ROLE,Michael Caine,The Quiet American,False
2002,2003,75,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,Gangs of New York,False
2002,2003,75,ACTOR IN A LEADING ROLE,Jack Nicholson,About Schmidt,False
2002,2003,75,ACTRESS IN A LEADING ROLE,Salma Hayek,Frida,False
2002,2003,75,ACTRESS IN A LEADING ROLE,Nicole Kidman,The Hours,True
2002,2003,75,ACTRESS IN A LEADING ROLE,Diane Lane,Unfaithful,False
2002,2003,75,ACTRESS IN A LEADING ROLE,Julianne Moore,Far from Heaven,False
2002,2003,75,ACTRESS IN A LEADING ROLE,Renée Zellweger,Chicago,False
2002,2003,75,BEST PICTURE,"Martin Richards, Producer",Chicago,True
2002,2003,75,BEST PICTURE,"Alberto Grimaldi and Harvey Weinstein, Producers",Gangs of New York,False
2002,2003,75,BEST PICTURE,"Scott Rudin and Robert Fox, Producers",The Hours,False
2002,2003,75,BEST PICTURE,"Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers",The Lord of the Rings: The Two Towers,False
2002,2003,75,BEST PICTURE,"Roman Polanski, Robert Benmussa and Alain Sarde, Producers",The Pianist,False
2003,2004,76,ACTOR IN A LEADING ROLE,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,False
2003,2004,76,ACTOR IN A LEADING ROLE,Ben Kingsley,House of Sand and Fog,False
2003,2004,76,ACTOR IN A LEADING ROLE,Jude Law,Cold Mountain,False
2003,2004,76,ACTOR IN A LEADING ROLE,Bill Murray,Lost in Translation,False
2003,2004,76,ACTOR IN A LEADING ROLE,Sean Penn,Mystic River,True
2003,2004,76,ACTRESS IN A LEADING ROLE,Keisha Castle-Hughes,Whale Rider,False
2003,2004,76,ACTRESS IN A LEADING ROLE,Diane Keaton,Something's Gotta Give,False
2003,2004,76,ACTRESS IN A LEADING ROLE,Samantha Morton,In America,False
2003,2004,76,ACTRESS IN A LEADING ROLE,Charlize Theron,Monster,True
2003,2004,76,ACTRESS IN A LEADING ROLE,Naomi Watts,21 Grams,False
2003,2004,76,BEST PICTURE,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",The Lord of the Rings: The Return of the King,True
2003,2004,76,BEST PICTURE,"Ross Katz and Sofia Coppola, Producers",Lost in Translation,False
2003,2004,76,BEST PICTURE,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers",Master and Commander: The Far Side of the World,False
2003,2004,76,BEST PICTURE,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers",Mystic River,False
2003,2004,76,BEST PICTURE,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers",Seabiscuit,False
2004,2005,77,ACTOR IN A LEADING ROLE,Don Cheadle,Hotel Rwanda,False
2004,2005,77,ACTOR IN A LEADING ROLE,Johnny Depp,Finding Neverland,False
2004,2005,77,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,The Aviator,False
2004,2005,77,ACTOR IN A LEADING ROLE,Clint Eastwood,Million Dollar Baby,False
2004,2005,77,ACTOR IN A LEADING ROLE,Jamie Foxx,Ray,True
2004,2005,77,ACTRESS IN A LEADING ROLE,Annette Bening,Being Julia,False
2004,2005,77,ACTRESS IN A LEADING ROLE,Catalina Sandino Moreno,Maria Full of Grace,False
2004,2005,77,ACTRESS IN A LEADING ROLE,Imelda Staunton,Vera Drake,False
2004,2005,77,ACTRESS IN A LEADING ROLE,Hilary Swank,Million Dollar Baby,True
2004,2005,77,ACTRESS IN A LEADING ROLE,Kate Winslet,Eternal Sunshine of the Spotless Mind,False
2004,2005,77,BEST PICTURE,"Michael Mann and Graham King, Producers",The Aviator,False
2004,2005,77,BEST PICTURE,"Richard N. Gladstein and Nellie Bellflower, Producers",Finding Neverland,False
2004,2005,77,BEST PICTURE,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",Million Dollar Baby,True
2004,2005,77,BEST PICTURE,"Taylor Hackford, Stuart Benjamin and Howard Baldwin, Producers",Ray,False
2004,2005,77,BEST PICTURE,"Michael London, Producer",Sideways,False
2005,2006,78,ACTOR IN A LEADING ROLE,Philip Seymour Hoffman,Capote,True
2005,2006,78,ACTOR IN A LEADING ROLE,Terrence Howard,Hustle & Flow,False
2005,2006,78,ACTOR IN A LEADING ROLE,Heath Ledger,Brokeback Mountain,False
2005,2006,78,ACTOR IN A LEADING ROLE,Joaquin Phoenix,Walk the Line,False
2005,2006,78,ACTOR IN A LEADING ROLE,David Strathairn,"Good Night, and Good Luck.",False
2005,2006,78,ACTRESS IN A LEADING ROLE,Judi Dench,Mrs. Henderson Presents,False
2005,2006,78,ACTRESS IN A LEADING ROLE,Felicity Huffman,Transamerica,False
2005,2006,78,ACTRESS IN A LEADING ROLE,Keira Knightley,Pride & Prejudice,False
2005,2006,78,ACTRESS IN A LEADING ROLE,Charlize Theron,North Country,False
2005,2006,78,ACTRESS IN A LEADING ROLE,Reese Witherspoon,Walk the Line,True
2005,2006,78,BEST PICTURE,"Diana Ossana and James Schamus, Producers",Brokeback Mountain,False
2005,2006,78,BEST PICTURE,"Caroline Baron, William Vince and Michael Ohoven, Producers",Capote,False
2005,2006,78,BEST PICTURE,"Paul Haggis and Cathy Schulman, Producers",Crash,True
2005,2006,78,BEST PICTURE,"Grant Heslov, Producer","Good Night, and Good Luck.",False
2005,2006,78,BEST PICTURE,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers",Munich,False
2006,2007,79,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,Blood Diamond,False
2006,2007,79,ACTOR IN A LEADING ROLE,Ryan Gosling,Half Nelson,False
2006,2007,79,ACTOR IN A LEADING ROLE,Peter O'Toole,Venus,False
2006,2007,79,ACTOR IN A LEADING ROLE,Will Smith,The Pursuit of Happyness,False
2006,2007,79,ACTOR IN A LEADING ROLE,Forest Whitaker,The Last King of Scotland,True
2006,2007,79,ACTRESS IN A LEADING ROLE,Penélope Cruz,Volver,False
2006,2007,79,ACTRESS IN A LEADING ROLE,Judi Dench,Notes on a Scandal,False
2006,2007,79,ACTRESS IN A LEADING ROLE,Helen Mirren,The Queen,True
2006,2007,79,ACTRESS IN A LEADING ROLE,Meryl Streep,The Devil Wears Prada,False
2006,2007,79,ACTRESS IN A LEADING ROLE,Kate Winslet,Little Children,False
2006,2007,79,BEST PICTURE,"Alejandro González Iñárritu, Jon Kilik and Steve Golin, Producers",Babel,False
2006,2007,79,BEST PICTURE,"Graham King, Producer",The Departed,True
2006,2007,79,BEST PICTURE,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers",Letters from Iwo Jima,False
2006,2007,79,BEST PICTURE,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers",Little Miss Sunshine,False
2006,2007,79,BEST PICTURE,"Andy Harries, Christine Langan and Tracey Seaward, Producers",The Queen,False
2007,2008,80,ACTOR IN A LEADING ROLE,George Clooney,Michael Clayton,False
2007,2008,80,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,There Will Be Blood,True
2007,2008,80,ACTOR IN A LEADING ROLE,Johnny Depp,Sweeney Todd The Demon Barber of Fleet Street,False
2007,2008,80,ACTOR IN A LEADING ROLE,Tommy Lee Jones,In the Valley of Elah,False
2007,2008,80,ACTOR IN A LEADING ROLE,Viggo Mortensen,Eastern Promises,False
2007,2008,80,ACTRESS IN A LEADING ROLE,Cate Blanchett,Elizabeth: The Golden Age,False
2007,2008,80,ACTRESS IN A LEADING ROLE,Julie Christie,Away from Her,False
2007,2008,80,ACTRESS IN A LEADING ROLE,Marion Cotillard,La Vie en Rose,True
2007,2008,80,ACTRESS IN A LEADING ROLE,Laura Linney,The Savages,False
2007,2008,80,ACTRESS IN A LEADING ROLE,Ellen Page,Juno,False
2007,2008,80,BEST PICTURE,"Tim Bevan, Eric Fellner and Paul Webster, Producers",Atonement,False
2007,2008,80,BEST PICTURE,"Lianne Halfon, Mason Novick and Russell Smith, Producers",Juno,False
2007,2008,80,BEST PICTURE,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",Michael Clayton,False
2007,2008,80,BEST PICTURE,"Scott Rudin, Ethan Coen and Joel Coen, Producers",No Country for Old Men,True
2007,2008,80,BEST PICTURE,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers",There Will Be Blood,False
2008,2009,81,ACTOR IN A LEADING ROLE,Richard Jenkins,The Visitor,False
2008,2009,81,ACTOR IN A LEADING ROLE,Frank Langella,Frost/Nixon,False
2008,2009,81,ACTOR IN A LEADING ROLE,Sean Penn,Milk,True
2008,2009,81,ACTOR IN A LEADING ROLE,Brad Pitt,The Curious Case of Benjamin Button,False
2008,2009,81,ACTOR IN A LEADING ROLE,Mickey Rourke,The Wrestler,False
2008,2009,81,ACTRESS IN A LEADING ROLE,Anne Hathaway,Rachel Getting Married,False
2008,2009,81,ACTRESS IN A LEADING ROLE,Angelina Jolie,Changeling,False
2008,2009,81,ACTRESS IN A LEADING ROLE,Melissa Leo,Frozen River,False
2008,2009,81,ACTRESS IN A LEADING ROLE,Meryl Streep,Doubt,False
2008,2009,81,ACTRESS IN A LEADING ROLE,Kate Winslet,The Reader,True
2008,2009,81,BEST PICTURE,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers",The Curious Case of Benjamin Button,False
2008,2009,81,BEST PICTURE,"Brian Grazer, Ron Howard and Eric Fellner, Producers",Frost/Nixon,False
2008,2009,81,BEST PICTURE,"Dan Jinks and Bruce Cohen, Producers",Milk,False
2008,2009,81,BEST PICTURE,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers",The Reader,False
2008,2009,81,BEST PICTURE,"Christian Colson, Producer",Slumdog Millionaire,True
2009,2010,82,ACTOR IN A LEADING ROLE,Jeff Bridges,Crazy Heart,True
2009,2010,82,ACTOR IN A LEADING ROLE,George Clooney,Up in the Air,False
2009,2010,82,ACTOR IN A LEADING ROLE,Colin Firth,A Single Man,False
2009,2010,82,ACTOR IN A LEADING ROLE,Morgan Freeman,Invictus,False
2009,2010,82,ACTOR IN A LEADING ROLE,Jeremy Renner,The Hurt Locker,False
2009,2010,82,ACTRESS IN A LEADING ROLE,Sandra Bullock,The Blind Side,True
2009,2010,82,ACTRESS IN A LEADING ROLE,Helen Mirren,The Last Station,False
2009,2010,82,ACTRESS IN A LEADING ROLE,Carey Mulligan,An Education,False
2009,2010,82,ACTRESS IN A LEADING ROLE,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire,False
2009,2010,82,ACTRESS IN A LEADING ROLE,Meryl Streep,Julie & Julia,False
2009,2010,82,BEST PICTURE,"James Cameron and Jon Landau, Producers",Avatar,False
2009,2010,82,BEST PICTURE,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers",The Blind Side,False
2009,2010,82,BEST PICTURE,"Peter Jackson and Carolynne Cunningham, Producers",District 9,False
2009,2010,82,BEST PICTURE,"Finola Dwyer and Amanda Posey, Producers",An Education,False
