ceremony,category,film,winner,imdb_rating,Metascore,Tomatometer,GoldenGlobe,BAFTAs,box_office
97,BEST PICTURE,Anora,,7.7,91,94%,nominated,nominated,"$15,140,997 "
97,BEST PICTURE,The Brutalist,,7.8,90,94%,won,nominated,"$12,116,310 "
97,BEST PICTURE,A Complete Unknown,,7.6,70,80%,nominated,nominated,"$66,837,359 "
97,BEST PICTURE,Conclave,,7.4,79,93%,nominated,won,"$31,795,645 "
97,BEST PICTURE,Dune: Part Two,,8.5,79,92%,nominated,none,"$282,144,358 "
97,BEST PICTURE,Emilia P¨¦rez,,5.5,70,72%,won,nominated,"$15,339,534 "
97,BEST PICTURE,I'm Still Here,,8.8,48,92%,nominated,none,"$408,983 "
97,BEST PICTURE,Nickel Boys,,7.2,91,90%,nominated,none,"$2,285,584 "
97,BEST PICTURE,The Substance,,7.3,78,89%,nominated,none,"$16,774,179 "
97,BEST PICTURE,Wicked,,7.6,73,88%,nominated,none,"$465,905,925 "
