ceremony,category,film,winner,imdb_rating,Metascore,Tomatometer,GoldenGlobe,BAFTAs,oldvalue
72,BEST PICTURE,American Beauty,TRUE,8.3,84,87%,won,won,
72,BEST PICTURE,The Cider House Rules,FALSE,7.4,75,71%,nominated,nominated,
72,BEST PICTURE,The Green Mile,FALSE,8.6,61,79%,none,none,
72,BEST PICTURE,The Insider,FALSE,7.8,85,96%,nominated,nominated,
72,BEST PICTURE,The Sixth Sense,FALSE,8.2,64,86%,nominated,nominated,
73,BEST PICTURE,Chocolat,FALSE,7.2,64,63%,nominated,none,
73,BEST PICTURE,"Crouching Tiger, Hidden Dragon",FALSE,5,94,98%,won (Foreign),none,nominated
73,BEST PICTURE,Erin Brockovich,FALSE,7.5,73,85%,nominated,nominated,nominated
73,BEST PICTURE,Gladiator,TRUE,8.5,67,80%,won,won,nominated
73,BEST PICTURE,Traffic,FALSE,7.6,86,93%,none,none,
74,BEST PICTURE,A Beautiful Mind,TRUE,8.2,72,74%,won,nominated,nominated
74,BEST PICTURE,Gosford Park,FALSE,7.2,90,87%,nominated,nominated,
74,BEST PICTURE,In the Bedroom,FALSE,7.4,86,93%,nominated,none,
74,BEST PICTURE,The Lord of the Rings: The Fellowship of the Ring,FALSE,8.9,92,92%,nominated,won,nominated
74,BEST PICTURE,Moulin Rouge,FALSE,7.6,66,73%,won (Musical),nominated,
75,BEST PICTURE,Chicago,TRUE,8,81,87%,won (Musical),nominated,nominated
75,BEST PICTURE,Gangs of New York,FALSE,7.5,72,72%,nominated,none,nominated
75,BEST PICTURE,The Hours,FALSE,7.5,80,80%,nominated,none,nominated
75,BEST PICTURE,The Lord of the Rings: The Two Towers,FALSE,8.8,87,95%,none,none,nominated
75,BEST PICTURE,The Pianist,FALSE,8.5,85,95%,nominated,won,nominated
76,BEST PICTURE,The Lord of the Rings: The Return of the King,TRUE,9,94,94%,won,won,nominated
76,BEST PICTURE,Lost in Translation,FALSE,7.7,91,95%,won (Musical),nominated,nominated
76,BEST PICTURE,Master and Commander: The Far Side of the World,FALSE,7.5,81,85%,nominated,none,nominated
76,BEST PICTURE,Mystic River,FALSE,7.9,84,89%,nominated,nominated,
76,BEST PICTURE,Seabiscuit,FALSE,7.3,72,78%,none,none,
77,BEST PICTURE,The Aviator,FALSE,7.5,77,86%,won (Drama),won,nominated
77,BEST PICTURE,Finding Neverland,FALSE,7.7,67,82%,nominated,none,nominated
77,BEST PICTURE,Million Dollar Baby,TRUE,8.1,86,90%,won,,
77,BEST PICTURE,Ray,FALSE,7.7,73,79%,none,none,
77,BEST PICTURE,Sideways,FALSE,7.5,94,97%,won (Musical),none,
78,BEST PICTURE,Brokeback Mountain,FALSE,7.7,87,88%,won (Drama),won,nominated
78,BEST PICTURE,Capote,FALSE,7.3,88,89%,none,none,nominated
