ceremony,category,film,winner,imdb_rating,Metascore,Tomatometer,GoldenGlobe,BAFTAs,box_office
97,BEST PICTURE,Anora,,7.7,91,,,,"$15,140,997 "
97,BEST PICTURE,The Brutalist,,7.8,90,,,,"$12,116,310 "
97,BEST PICTURE,A Complete Unknown,,7.6,70,,,,"$66,837,359 "
97,BEST PICTURE,Conclave,,7.4,79,,,,"$31,795,645 "
97,BEST PICTURE,Dune: Part Two,,8.5,79,,,,"$282,144,358 "
97,BEST PICTURE,Emilia P¨¦rez,,5.5,N/A,,,,"$15,339,534 "
97,BEST PICTURE,I'm Still Here,,8.8,48,,,,"$408,983 "
97,BEST PICTURE,Nickel Boys,,7.2,91,,,,"$2,285,584 "
97,BEST PICTURE,The Substance,,7.3,78,,,,"$16,774,179 "
97,BEST PICTURE,Wicked,,7.6,73,,,,"$465,905,925 "
