year_film,year_ceremony,ceremony,category,name,film,winner,imdb_rating,box_office
1999,2000,72,ACTOR IN A LEADING ROLE,Russell Crowe,The Insider,False,7.8,"$29,089,912"
1999,2000,72,ACTOR IN A LEADING ROLE,Richard Farnsworth,The Straight Story,False,8.0,"$6,203,044"
1999,2000,72,ACTOR IN A LEADING ROLE,Sean Penn,Sweet and Lowdown,False,7.2,"$4,197,015"
1999,2000,72,ACTOR IN A LEADING ROLE,Kevin Spacey,American Beauty,True,8.3,"$130,096,601"
1999,2000,72,ACTOR IN A LEADING ROLE,Denzel Washington,The Hurricane,False,7.6,"$50,699,241"
1999,2000,72,ACTRESS IN A LEADING ROLE,Annette Bening,American Beauty,False,,
1999,2000,72,ACTRESS IN A LEADING ROLE,Janet McTeer,Tumbleweeds,False,6.7,"$1,350,248"
1999,2000,72,ACTRESS IN A LEADING ROLE,Julianne Moore,The End of the Affair,False,7.0,"$10,827,816"
1999,2000,72,ACTRESS IN A LEADING ROLE,Meryl Streep,Music of the Heart,False,6.7,"$14,859,394"
1999,2000,72,ACTRESS IN A LEADING ROLE,Hilary Swank,Boys Don't Cry,True,7.5,"$11,540,607"
1999,2000,72,BEST PICTURE,"Bruce Cohen and Dan Jinks, Producers",American Beauty,True,,
1999,2000,72,BEST PICTURE,"Richard N. Gladstein, Producer",The Cider House Rules,False,7.4,"$57,545,092"
1999,2000,72,BEST PICTURE,"David Valdes and Frank Darabont, Producers",The Green Mile,False,8.6,"$136,801,374"
1999,2000,72,BEST PICTURE,"Michael Mann and Pieter Jan Brugge, Producers",The Insider,False,,
1999,2000,72,BEST PICTURE,"Frank Marshall, Kathleen Kennedy and Barry Mendel, Producers",The Sixth Sense,False,8.2,"$293,506,292"
2000,2001,73,ACTOR IN A LEADING ROLE,Javier Bardem,Before Night Falls,False,7.1,"$4,242,892"
2000,2001,73,ACTOR IN A LEADING ROLE,Russell Crowe,Gladiator,True,8.5,"$187,705,427"
2000,2001,73,ACTOR IN A LEADING ROLE,Tom Hanks,Cast Away,False,7.8,"$233,632,142"
2000,2001,73,ACTOR IN A LEADING ROLE,Ed Harris,Pollock,False,7.0,"$8,598,593"
2000,2001,73,ACTOR IN A LEADING ROLE,Geoffrey Rush,Quills,False,7.2,"$7,065,332"
2000,2001,73,ACTRESS IN A LEADING ROLE,Joan Allen,The Contender,False,6.9,"$17,872,723"
2000,2001,73,ACTRESS IN A LEADING ROLE,Juliette Binoche,Chocolat,False,7.2,"$71,509,363"
2000,2001,73,ACTRESS IN A LEADING ROLE,Ellen Burstyn,Requiem for a Dream,False,8.3,"$3,635,482"
2000,2001,73,ACTRESS IN A LEADING ROLE,Laura Linney,You Can Count on Me,False,7.5,"$9,416,804"
2000,2001,73,ACTRESS IN A LEADING ROLE,Julia Roberts,Erin Brockovich,True,7.5,"$125,595,205"
2000,2001,73,BEST PICTURE,"David Brown, Kit Golden and Leslie Holleran, Producers",Chocolat,False,,
2000,2001,73,BEST PICTURE,"Bill Kong, Hsu Li Kong and Ang Lee, Producers","Crouching Tiger, Hidden Dragon",False,5.0,"$128,530,421"
2000,2001,73,BEST PICTURE,"Danny DeVito, Michael Shamberg and Stacey Sher, Producers",Erin Brockovich,False,,
2000,2001,73,BEST PICTURE,"Douglas Wick, David Franzoni and Branko Lustig, Producers",Gladiator,True,,
2000,2001,73,BEST PICTURE,"Edward Zwick, Marshall Herskovitz and Laura Bickford, Producers",Traffic,False,7.6,"$124,115,725"
2001,2002,74,ACTOR IN A LEADING ROLE,Russell Crowe,A Beautiful Mind,False,8.2,"$170,742,341"
2001,2002,74,ACTOR IN A LEADING ROLE,Sean Penn,I Am Sam,False,7.6,"$40,311,852"
2001,2002,74,ACTOR IN A LEADING ROLE,Will Smith,Ali,False,6.7,"$58,203,105"
2001,2002,74,ACTOR IN A LEADING ROLE,Denzel Washington,Training Day,True,7.8,"$76,631,907"
2001,2002,74,ACTOR IN A LEADING ROLE,Tom Wilkinson,In the Bedroom,False,7.4,"$35,930,604"
2001,2002,74,ACTRESS IN A LEADING ROLE,Halle Berry,Monster's Ball,True,7.0,"$31,273,922"
2001,2002,74,ACTRESS IN A LEADING ROLE,Judi Dench,Iris,False,7.7,"$5,594,617"
2001,2002,74,ACTRESS IN A LEADING ROLE,Nicole Kidman,Moulin Rouge,False,7.6,N/A
2001,2002,74,ACTRESS IN A LEADING ROLE,Sissy Spacek,In the Bedroom,False,,
2001,2002,74,ACTRESS IN A LEADING ROLE,Renée Zellweger,Bridget Jones's Diary,False,6.8,"$71,543,427"
2001,2002,74,BEST PICTURE,"Brian Grazer and Ron Howard, Producers",A Beautiful Mind,True,,
2001,2002,74,BEST PICTURE,"Robert Altman, Bob Balaban and David Levy, Producers",Gosford Park,False,7.2,"$41,308,615"
2001,2002,74,BEST PICTURE,"Graham Leader, Ross Katz and Todd Field, Producers",In the Bedroom,False,,
2001,2002,74,BEST PICTURE,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",The Lord of the Rings: The Fellowship of the Ring,False,8.9,"$319,372,078"
2001,2002,74,BEST PICTURE,"Martin Brown, Baz Luhrmann and Fred Baron, Producers",Moulin Rouge,False,,
2002,2003,75,ACTOR IN A LEADING ROLE,Adrien Brody,The Pianist,True,8.5,"$32,590,750"
2002,2003,75,ACTOR IN A LEADING ROLE,Nicolas Cage,Adaptation,False,7.7,N/A
2002,2003,75,ACTOR IN A LEADING ROLE,Michael Caine,The Quiet American,False,7.0,"$12,988,801"
2002,2003,75,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,Gangs of New York,False,7.5,"$77,812,000"
2002,2003,75,ACTOR IN A LEADING ROLE,Jack Nicholson,About Schmidt,False,7.2,"$65,016,287"
2002,2003,75,ACTRESS IN A LEADING ROLE,Salma Hayek,Frida,False,7.3,"$25,885,000"
2002,2003,75,ACTRESS IN A LEADING ROLE,Nicole Kidman,The Hours,True,7.5,"$41,675,994"
2002,2003,75,ACTRESS IN A LEADING ROLE,Diane Lane,Unfaithful,False,6.7,"$52,775,765"
2002,2003,75,ACTRESS IN A LEADING ROLE,Julianne Moore,Far from Heaven,False,7.3,"$15,901,849"
2002,2003,75,ACTRESS IN A LEADING ROLE,Renée Zellweger,Chicago,False,8.0,"$170,687,518"
2002,2003,75,BEST PICTURE,"Martin Richards, Producer",Chicago,True,,
2002,2003,75,BEST PICTURE,"Alberto Grimaldi and Harvey Weinstein, Producers",Gangs of New York,False,,
2002,2003,75,BEST PICTURE,"Scott Rudin and Robert Fox, Producers",The Hours,False,,
2002,2003,75,BEST PICTURE,"Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers",The Lord of the Rings: The Two Towers,False,8.8,"$345,518,923"
2002,2003,75,BEST PICTURE,"Roman Polanski, Robert Benmussa and Alain Sarde, Producers",The Pianist,False,,
2003,2004,76,ACTOR IN A LEADING ROLE,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,False,8.1,"$305,413,918"
2003,2004,76,ACTOR IN A LEADING ROLE,Ben Kingsley,House of Sand and Fog,False,7.5,"$13,040,288"
2003,2004,76,ACTOR IN A LEADING ROLE,Jude Law,Cold Mountain,False,7.2,"$95,636,509"
2003,2004,76,ACTOR IN A LEADING ROLE,Bill Murray,Lost in Translation,False,7.7,"$44,585,453"
2003,2004,76,ACTOR IN A LEADING ROLE,Sean Penn,Mystic River,True,7.9,"$90,135,191"
2003,2004,76,ACTRESS IN A LEADING ROLE,Keisha Castle-Hughes,Whale Rider,False,7.5,"$20,779,666"
2003,2004,76,ACTRESS IN A LEADING ROLE,Diane Keaton,Something's Gotta Give,False,6.7,"$124,728,738"
2003,2004,76,ACTRESS IN A LEADING ROLE,Samantha Morton,In America,False,6.1,"$15,539,656"
2003,2004,76,ACTRESS IN A LEADING ROLE,Charlize Theron,Monster,True,8.7,"$34,469,210"
2003,2004,76,ACTRESS IN A LEADING ROLE,Naomi Watts,21 Grams,False,7.6,"$16,290,476"
2003,2004,76,BEST PICTURE,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",The Lord of the Rings: The Return of the King,True,9.0,"$381,878,219"
2003,2004,76,BEST PICTURE,"Ross Katz and Sofia Coppola, Producers",Lost in Translation,False,,
2003,2004,76,BEST PICTURE,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers",Master and Commander: The Far Side of the World,False,7.5,"$93,927,920"
2003,2004,76,BEST PICTURE,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers",Mystic River,False,,
2003,2004,76,BEST PICTURE,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers",Seabiscuit,False,7.3,"$120,277,854"
2004,2005,77,ACTOR IN A LEADING ROLE,Don Cheadle,Hotel Rwanda,False,8.1,"$23,530,892"
2004,2005,77,ACTOR IN A LEADING ROLE,Johnny Depp,Finding Neverland,False,7.7,"$51,680,613"
2004,2005,77,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,The Aviator,False,7.5,"$102,610,330"
2004,2005,77,ACTOR IN A LEADING ROLE,Clint Eastwood,Million Dollar Baby,False,8.1,"$100,492,203"
2004,2005,77,ACTOR IN A LEADING ROLE,Jamie Foxx,Ray,True,7.7,"$75,331,600"
2004,2005,77,ACTRESS IN A LEADING ROLE,Annette Bening,Being Julia,False,7.0,"$7,739,049"
2004,2005,77,ACTRESS IN A LEADING ROLE,Catalina Sandino Moreno,Maria Full of Grace,False,7.4,"$6,529,624"
2004,2005,77,ACTRESS IN A LEADING ROLE,Imelda Staunton,Vera Drake,False,7.6,"$3,775,283"
2004,2005,77,ACTRESS IN A LEADING ROLE,Hilary Swank,Million Dollar Baby,True,,
2004,2005,77,ACTRESS IN A LEADING ROLE,Kate Winslet,Eternal Sunshine of the Spotless Mind,False,8.3,"$34,400,301"
2004,2005,77,BEST PICTURE,"Michael Mann and Graham King, Producers",The Aviator,False,,
